Location,count_week,vap,wet,pet,pre,tmn,tmp,tmx,dtr,Week,Epi_Week,Total_cases,Cum_cases,Weeks,Month,Year,Country,Population,Latitude,Longitude
BEYLA,1,12.4125,0,5.1875,0,17.9125,25.2,32.5375,14.625,NA,NA,0,0,2013-01-01,1,2013,Guinea,326082,8.687414,-8.656549
BEYLA,2,11.319147447932,0,5.42698036856957,0,17.6150334558088,25.0687512768238,32.5847095403021,14.9696760844933,NA,NA,0,0,2013-01-08,1,2013,Guinea,326082,8.687414,-8.656549
BEYLA,3,11.1535303688435,0,5.64601898845985,0,17.8937926278456,25.4145847415816,33.0034078762227,15.1096152483771,NA,NA,0,0,2013-01-15,1,2013,Guinea,326082,8.687414,-8.656549
BEYLA,4,11.7687894090705,0,5.83970006540592,0,18.6357142480175,26.1370338489842,33.706800515272,15.0710862672545,NA,NA,0,0,2013-01-22,1,2013,Guinea,326082,8.687414,-8.656549
BEYLA,5,13.0180652149489,0,6.00310780514289,0,19.7277350482316,27.1356320537427,34.6080929649602,14.8803579167286,NA,NA,0,0,2013-01-29,1,2013,Guinea,326082,8.687414,-8.656549
BEYLA,6,14.7514815812683,0,6.13065838581107,5.45737053031734,21.0526740894902,28.3057887076339,35.6164195748791,14.5637454853889,NA,NA,0,0,2013-02-05,2,2013,Guinea,326082,8.687414,-8.656549
BEYLA,7,16.7840914035946,0,6.20900216476132,14.448469608166,22.4454825085267,29.4949704658248,36.5935874838179,14.1481049752913,NA,NA,0,0,2013-02-12,2,2013,Guinea,326082,8.687414,-8.656549
BEYLA,8,18.9083211908971,1.49116530215289,6.21977929238365,23.9810906996711,23.710228910288,30.519713211476,37.3708701461775,13.6606412358895,NA,NA,0,0,2013-02-19,2,2013,Guinea,326082,8.687414,-8.656549
BEYLA,9,20.9162203457021,2.06513079355823,6.14454641561867,33.071387638993,24.6504671908579,31.1960373148815,37.7790321216184,13.1285649307606,NA,NA,0,0,2013-02-26,2,2013,Guinea,326082,8.687414,-8.656549
BEYLA,10,22.6017238027521,2.54662433285983,5.96527769865376,40.7402578223094,25.0723247906357,31.3425407106691,37.6513824435007,12.579057652865,NA,NA,0,0,2013-03-05,3,2013,Guinea,326082,8.687414,-8.656549
