Location,count_week,vap,wet,pet,pre,tmn,tmp,tmx,dtr,Week,Epi_Week,Total_cases,Cum_cases,Weeks,Month,Year,Country,Population,Latitude,Longitude
PORTLOKO,140,25.9914889023551,20.6143186002595,3.19069474282374,242.914509581883,20.6162305321613,25.1409227557634,29.7168175294121,29.7168175294121,31 August to 06 September 2015 (2015-W36), 2015-W36 ,0,2186,2015-09-01,9,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,141,26.0115207520419,18.4200001804429,3.30927089817627,213.785080242807,20.7740491193708,25.397417156524,30.0733668684078,30.0733668684078,07 to 13 September 2015 (2015-W37), 2015-W37 ,0,2186,2015-09-08,9,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,142,25.8385616221627,15.3622731406379,3.42519408560513,175.000301132522,20.9377692877619,25.6738206431278,30.4616869810349,30.4616869810349,14 to 20 September 2015 (2015-W38), 2015-W38 ,0,2186,2015-09-15,9,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,143,25.3535689067909,11.9554266805788,3.54181891593736,132.656498851447,21.0491624453125,25.9547944971086,30.9108679854975,30.9108679854975,21 to 27 September 2015 (2015-W39), 2015-W39 ,0,2186,2015-09-22,9,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,144,24.4375,8.71375,3.6625,92.85,21.05,26.225,31.45,31.45,28 September to 04 October 2015 (2015-W40), 2015-W40 ,0,2186,2015-09-29,9,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,145,23.0189956050368,6.05048225199836,3.7884208933945,60.4763515130384,20.8964245872972,26.4677494502975,32.0906873202523,32.0906873202523,05 to 11 October 2015 (2015-W41), 2015-W41 ,0,2186,2015-10-06,10,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,146,21.2174296618426,3.97466240312286,3.91208093081992,35.6279816631871,20.6020637526578,26.660959214343,32.7745909519878,32.7745909519878,12 to 18 October 2015 (2015-W42), 2015-W42 ,0,2186,2015-10-13,10,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,147,19.1998594195321,2.39427937328505,4.02380839174977,17.1965390575092,20.1949162690302,26.7811966754397,33.4258860784455,33.4258860784455,19 to 25 October 2015 (2015-W43), 2015-W43 ,0,2186,2015-10-20,10,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,148,17.1333421272202,1.21732208239668,4.11393155565753,4.07367230306977,19.7029809093633,26.8050292168911,33.9687478828646,33.9687478828646,26 October to 01 November 2015 (2015-W44), 2015-W44 ,0,2186,2015-10-27,10,2015,Sierra Leone,453746,8.7062659,-13.0634857
PORTLOKO,149,15.182109356441,0,4.17290735714115,0,19.1534048183098,26.7091041617362,34.3283877453727,34.3283877453727,02 to 08 November 2015 (2015-W45), 2015-W45 ,0,2186,2015-11-03,11,2015,Sierra Leone,453746,8.7062659,-13.0634857
